,date_time,injured,killed,street_name_primary,street_name_intersecting
80577,2021-07,0,0,METROPOLITAN DRIVE,
80578,2021-07,0,0,METROPOLITAN DRIVE,
80589,2021-07,0,0,BACON STREET,
80590,2021-07,0,0,BACON STREET,
80593,2021-07,0,0,CLAIREMONT MESA BOULEVARD,
80594,2021-07,0,0,CLAIREMONT MESA BOULEVARD,
80596,2021-07,0,0,LINCOLN AVENUE,WASHINGTON STREET
80597,2021-07,0,0,LINCOLN AVENUE,WASHINGTON STREET
80598,2021-07,0,0,LINCOLN AVENUE,WASHINGTON STREET
80603,2021-07,1,0,MARKET STREET,
80604,2021-07,1,0,MARKET STREET,
80605,2021-07,1,0,MARKET STREET,
80606,2021-07,1,0,MARKET STREET,
80607,2021-07,0,0,ALVARADO ROAD,
80608,2021-07,0,0,ALVARADO ROAD,
80609,2021-07,0,0,MARKET STREET,
80610,2021-07,0,0,G STREET,
80611,2021-07,0,0,G STREET,
80612,2021-07,0,0,EL CAJON BOULEVARD,
80613,2021-07,0,0,EL CAJON BOULEVARD,
80614,2021-07,0,0,EL CAJON BOULEVARD,
80615,2021-07,1,0,EL CAJON BOULEVARD,
80616,2021-07,1,0,EL CAJON BOULEVARD,
80617,2021-07,1,0,EL CAJON BOULEVARD,
80618,2021-07,1,0,EL CAJON BOULEVARD,
80619,2021-07,0,0,EL CAJON BOULEVARD,
80620,2021-07,0,0,EL CAJON BOULEVARD,
80621,2021-07,0,0,EL CAJON BOULEVARD,
80627,2021-07,1,0,FIESTA ISLAND ROAD,
80628,2021-07,1,0,FIESTA ISLAND ROAD,
80629,2021-07,0,0,SCRANTON ROAD,
80630,2021-07,0,0,SCRANTON ROAD,
80634,2021-07,0,0,ESSEX STREET,
80640,2021-07,2,0,BALBOA AVENUE,
80641,2021-07,2,0,BALBOA AVENUE,
80642,2021-07,0,0,CONVOY STREET,
80643,2021-07,0,0,CONVOY STREET,
80644,2021-07,0,0,CONVOY STREET,
80645,2021-07,0,0,CONVOY STREET,
80649,2021-07,2,0,MISSION BAY DRIVE,
80650,2021-07,2,0,MISSION BAY DRIVE,
80651,2021-07,2,0,MISSION BAY DRIVE,
80652,2021-07,1,0,ABBOTT STREET,
80653,2021-07,1,0,ABBOTT STREET,
80654,2021-07,1,0,BALBOA AVENUE,
80655,2021-07,0,0,POMERADO ROAD,
80656,2021-07,0,0,POMERADO ROAD,
80657,2021-07,0,0,POMERADO ROAD,
80658,2021-07,0,0,POMERADO ROAD,
80663,2021-07,1,0,SOLEDAD MOUNTAIN ROAD,
80664,2021-07,1,0,SOLEDAD MOUNTAIN ROAD,
80665,2021-07,3,0,FIESTA ISLAND ROAD,
80666,2021-07,3,0,FIESTA ISLAND ROAD,
80667,2021-07,3,0,FIESTA ISLAND ROAD,
80668,2021-07,3,0,FIESTA ISLAND ROAD,
80669,2021-07,3,0,FIESTA ISLAND ROAD,
80670,2021-07,1,0,COMMERCIAL STREET,
80671,2021-07,1,0,COMMERCIAL STREET,
80672,2021-07,0,0,WESTMORE ROAD,
80673,2021-07,0,0,WESTMORE ROAD,
80674,2021-07,1,0,SUNSET CLIFFS BOULEVARD,
80675,2021-07,1,0,SUNSET CLIFFS BOULEVARD,
80676,2021-07,1,0,SUNSET CLIFFS BOULEVARD,
80677,2021-07,1,0,SUNSET CLIFFS BOULEVARD,
80681,2021-08,0,0,EUCLID AVENUE,
80682,2021-08,0,0,EUCLID AVENUE,
80683,2021-08,1,0,GARNET AVENUE,
80684,2021-08,1,0,GARNET AVENUE,
80688,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
80689,2021-08,0,0,FAIRMOUNT AVENUE,
80690,2021-08,0,0,FAIRMOUNT AVENUE,
80691,2021-08,0,0,FAIRMOUNT AVENUE,
80692,2021-08,0,0,FAIRMOUNT AVENUE,
80693,2021-08,0,0,FAIRMOUNT AVENUE,
80694,2021-08,0,0,FAIRMOUNT AVENUE,
80698,2021-08,0,0,PERSHING DRIVE,
80701,2021-08,0,0,FAIRMOUNT AVENUE,
80702,2021-08,0,0,FAIRMOUNT AVENUE,
80703,2021-08,0,0,FAIRMOUNT AVENUE,
80704,2021-08,0,0,FAIRMOUNT AVENUE,
80705,2021-08,0,0,FAIRMOUNT AVENUE,
80706,2021-08,0,0,FAIRMOUNT AVENUE,
80707,2021-08,0,0,CABLE STREET,NEWPORT AVENUE
80708,2021-08,0,0,CABLE STREET,NEWPORT AVENUE
80709,2021-08,1,0,PALM AVENUE,
80710,2021-08,1,0,PALM AVENUE,
80711,2021-08,1,0,PALM AVENUE,
80712,2021-08,0,0,MISSION BOULEVARD,
80713,2021-08,0,0,MISSION BOULEVARD,
80716,2021-08,2,0,GENESEE AVENUE,
80717,2021-08,2,0,GENESEE AVENUE,
80718,2021-08,2,0,GENESEE AVENUE,
80719,2021-08,0,0,VOLTAIRE STREET,
80720,2021-08,0,0,VOLTAIRE STREET,
80721,2021-08,1,0,ROBINSON AVENUE,
80722,2021-08,2,0,PARADISE VALLEY ROAD,
80723,2021-08,2,0,PARADISE VALLEY ROAD,
80732,2021-08,1,0,EL CAJON BOULEVARD,
80733,2021-08,1,0,EL CAJON BOULEVARD,
80734,2021-08,1,0,EL CAJON BOULEVARD,
80737,2021-08,0,0,MISSION AVENUE,
80738,2021-08,0,0,MISSION AVENUE,
80739,2021-08,1,0,FAIRMOUNT AVENUE,MISSION GORGE ROAD
80740,2021-08,1,0,FAIRMOUNT AVENUE,MISSION GORGE ROAD
80741,2021-08,1,0,FAIRMOUNT AVENUE,
80742,2021-08,1,0,FAIRMOUNT AVENUE,
80743,2021-08,1,0,FAIRMOUNT AVENUE,
80744,2021-08,1,0,FAIRMOUNT AVENUE,
80745,2021-08,1,0,FAIRMOUNT AVENUE,
80746,2021-08,1,0,FAIRMOUNT AVENUE,
80747,2021-08,1,0,FAIRMOUNT AVENUE,
80748,2021-08,2,0,WESTVIEW PARKWAY,
80749,2021-08,2,0,WESTVIEW PARKWAY,
80750,2021-08,2,0,WESTVIEW PARKWAY,
80751,2021-08,2,0,UNIVERSITY AVENUE,
80752,2021-08,2,0,UNIVERSITY AVENUE,
80753,2021-08,2,0,UNIVERSITY AVENUE,
80754,2021-08,2,0,UNIVERSITY AVENUE,
