,date_count,street_name,total_count
1927,2010-06,BACHMAN PLACE,8230
1928,2013-10,BACHMAN PLACE,3076
1929,2006-06,BACHMAN PLACE,6790
1930,2009-06,BACHMAN PLACE,6705
1931,2012-05,BACHMAN PLACE,7114
1932,2015-06,BACHMAN PLACE,6688
1933,2016-06,BACHMAN PLACE,7504
1934,2006-06,BACON STREET,7810
1935,2009-06,BACON STREET,5070
1936,2012-05,BACON STREET,6263
1937,2015-06,BACON STREET,6827
1938,2016-06,BACON STREET,6189
1939,2021-08,BACON STREET,3269
1940,2011-01,BACON STREET,6170
1941,2014-04,BACON STREET,6489
1942,2007-06,BACON STREET,4930
1943,2010-06,BACON STREET,4815
1944,2013-06,BACON STREET,4585
1945,2021-07,BACON STREET,3517
1946,2016-09,BACON STREET,5408
1947,2016-09,BACON STREET,3937
1948,2010-12,BAJA DRIVE,3520
1949,2014-03,BAJA DRIVE,1047
1952,2015-07,BAKER STREET,1096
1953,2008-10,BALBOA ARMS DRIVE,6875
1954,2011-10,BALBOA ARMS DRIVE,4030
1955,2014-04,BALBOA ARMS DRIVE,4260
1956,2011-06,BALBOA AVENUE,32590
1957,2014-03,BALBOA AVENUE,31838
1958,2015-03,BALBOA AVENUE,27319
1959,2010-06,BALBOA AVENUE,38505
1960,2015-03,BALBOA AVENUE,50700
1961,2006-09,BALBOA AVENUE,58950
1962,2008-09,BALBOA AVENUE,54350
1963,2009-09,BALBOA AVENUE,62490
1964,2012-08,BALBOA AVENUE,58166
1965,2015-03,BALBOA AVENUE,57981
1966,2016-09,BALBOA AVENUE,58950
1967,2022-04,BALBOA AVENUE,36745
1968,2011-06,BALBOA AVENUE,33435
1969,2014-03,BALBOA AVENUE,35742
1970,2015-03,BALBOA AVENUE,36483
1971,2016-08,BALBOA AVENUE,32317
1972,2005-11,BALBOA AVENUE,29250
1973,2008-10,BALBOA AVENUE,31200
1974,2009-07,BALBOA AVENUE,30505
1975,2012-06,BALBOA AVENUE,30397
1976,2015-03,BALBOA AVENUE,35086
1977,2015-06,BALBOA AVENUE,25900
1978,2015-11,BALBOA AVENUE,32975
1979,2019-11,BALBOA AVENUE,32649
1980,2009-07,BALBOA AVENUE,44785
1981,2012-06,BALBOA AVENUE,42465
1982,2015-06,BALBOA AVENUE,34758
1983,2014-03,BALBOA AVENUE,978
1984,2005-11,BALBOA AVENUE,35000
1985,2008-09,BALBOA AVENUE,31590
1986,2011-09,BALBOA AVENUE,32635
1987,2014-03,BALBOA AVENUE,32937
1988,2015-03,BALBOA AVENUE,39201
1989,2015-11,BALBOA AVENUE,35832
1990,2019-11,BALBOA AVENUE,35459
1991,2011-06,BALBOA AVENUE,33490
1992,2014-03,BALBOA AVENUE,34878
1993,2021-11,BALBOA AVENUE,11921
1994,2011-05,BALBOA AVENUE,14365
1995,2014-03,BALBOA AVENUE,11205
1996,2006-09,BALBOA AVENUE,25890
1997,2009-09,BALBOA AVENUE,23530
1998,2012-07,BALBOA AVENUE,22576
1999,2015-03,BALBOA AVENUE,21064
2000,2016-09,BALBOA AVENUE,22568
2001,2011-06,BALBOA AVENUE,46955
2002,2014-03,BALBOA AVENUE,24939
2003,2015-03,BALBOA AVENUE,30402
2004,2011-06,BALBOA AVENUE,38940
2005,2014-03,BALBOA AVENUE,23958
2006,2015-03,BALBOA AVENUE,31613
2007,2005-07,BALBOA AVENUE,33200
2008,2008-08,BALBOA AVENUE,31450
2009,2011-08,BALBOA AVENUE,32670
2010,2014-03,BALBOA AVENUE,33135
2011,2015-03,BALBOA AVENUE,28197
2012,2015-07,BALBOA AVENUE,32883
